,Epoch,Statistic,Dataset,Value
0,0,Loss,Train,0.6432314744362464
1,0,Jaccard,Train,0.40209722977418166
2,0,Loss,Test,0.6662151291307095
3,0,Jaccard,Test,0.10471442460486319
4,1,Loss,Train,0.508815721823619
5,1,Jaccard,Train,0.6672712243520297
6,1,Loss,Test,0.4144769748755261
7,1,Jaccard,Test,0.7131178120596219
8,2,Loss,Train,0.4512850825603192
9,2,Jaccard,Train,0.7183744219633249
10,2,Loss,Test,0.42264572919997495
11,2,Jaccard,Test,0.6850960929836847
12,3,Loss,Train,0.4190683731665978
13,3,Jaccard,Train,0.7283195807383611
14,3,Loss,Test,0.3844928773103562
15,3,Jaccard,Test,0.7379628768009422
16,4,Loss,Train,0.3919268273390256
17,4,Jaccard,Train,0.7366176201747014
18,4,Loss,Test,0.3641459960325629
19,4,Jaccard,Test,0.7472077961516591
20,5,Loss,Train,0.371311203791545
21,5,Jaccard,Train,0.7415105104446411
22,5,Loss,Test,0.36282573970018234
23,5,Jaccard,Test,0.727303744944851
24,6,Loss,Train,0.35678667976306033
25,6,Jaccard,Train,0.7465189099311829
26,6,Loss,Test,0.3471614388765487
27,6,Jaccard,Test,0.7489927532398595
28,7,Loss,Train,0.3412096156523778
29,7,Jaccard,Train,0.7528746586579543
30,7,Loss,Test,0.3675512858724172
31,7,Jaccard,Test,0.7314451236640458
32,8,Loss,Train,0.33227233244822574
33,8,Jaccard,Train,0.7547037142973679
34,8,Loss,Test,0.3849786796928507
35,8,Jaccard,Test,0.6915508487583262
36,9,Loss,Train,0.3298867138532492
37,9,Jaccard,Train,0.7534404901357797
38,9,Loss,Test,0.35766772517060813
39,9,Jaccard,Test,0.7432731337251917
