,Epoch,Statistic,Dataset,Value
0,0,Loss,Train,0.6522616193844721
1,0,Jaccard,Train,0.4030717955185817
2,0,Loss,Test,0.6780232697461559
3,0,Jaccard,Test,0.1083157434400204
4,1,Loss,Train,0.5377765802236704
5,1,Jaccard,Train,0.6081448655862075
6,1,Loss,Test,0.9656885007841397
7,1,Jaccard,Test,0.5954317650963775
8,2,Loss,Train,0.4573422143092522
9,2,Jaccard,Train,0.6836441480196439
10,2,Loss,Test,0.6647077896426209
11,2,Jaccard,Test,0.649437705499936
12,3,Loss,Train,0.4170545752231891
13,3,Jaccard,Train,0.7089548707008362
14,3,Loss,Test,0.3804627369462916
15,3,Jaccard,Test,0.7273762189181505
16,4,Loss,Train,0.39357428825818574
17,4,Jaccard,Train,0.7241445413002601
18,4,Loss,Test,0.42791130453084425
19,4,Jaccard,Test,0.7167347632678209
20,5,Loss,Train,0.37505672298944914
21,5,Jaccard,Train,0.734113349364354
22,5,Loss,Test,0.3654521350312022
23,5,Jaccard,Test,0.7393948240617735
24,6,Loss,Train,0.3624166502402379
25,6,Jaccard,Train,0.7376689865038946
26,6,Loss,Test,0.36180926318717216
27,6,Jaccard,Test,0.7465671406383008
28,7,Loss,Train,0.3535142999428969
29,7,Jaccard,Train,0.7447026876302866
30,7,Loss,Test,0.3835027539624577
31,7,Jaccard,Test,0.7325580004042229
32,8,Loss,Train,0.3425285036747272
33,8,Jaccard,Train,0.7522123089203467
34,8,Loss,Test,0.3516863450012376
35,8,Jaccard,Test,0.7480869541126015
36,9,Loss,Train,0.33679803059651303
37,9,Jaccard,Train,0.752006851709806
38,9,Loss,Test,0.36564106645837297
39,9,Jaccard,Test,0.7431314060118346
